Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,167.059998,168.809998,166.500000,168.729996,167.684021,3720900
2022-09-20,167.580002,169.149994,166.860001,168.919998,167.872849,3872000
2022-09-21,169.880005,172.029999,168.339996,168.440002,167.395828,5134500
2022-09-22,168.399994,169.889999,168.050003,168.600006,167.554840,4290600
2022-09-23,168.389999,168.750000,166.529999,168.520004,167.475327,4565100
2022-09-26,168.330002,170.009995,167.529999,168.449997,167.405762,5326400
2022-09-27,168.240005,170.000000,165.240005,166.009995,164.980881,5400700
2022-09-28,166.910004,169.619995,165.240005,168.669998,167.624390,5480900
2022-09-29,168.800003,169.139999,165.000000,166.610001,165.577164,5167700
2022-09-30,167.690002,168.240005,163.009995,163.259995,162.247925,5971900
2022-10-03,163.520004,165.690002,163.020004,165.250000,164.225601,5093400
2022-10-04,167.389999,168.729996,165.550003,167.110001,166.074066,4596800
2022-10-05,166.970001,167.089996,163.729996,166.000000,164.970947,3538600
2022-10-06,165.789993,166.020004,162.500000,162.800003,161.790787,4623400
2022-10-07,162.300003,163.009995,160.979996,161.610001,160.608154,4779200
2022-10-10,161.990005,163.039993,161.190002,161.820007,160.816864,4839200
2022-10-11,162.240005,164.270004,161.559998,162.589996,161.582077,5222600
2022-10-12,168.729996,170.699997,166.600006,169.389999,168.339935,9795300
2022-10-13,167.100006,175.039993,166.820007,174.610001,173.527573,8412700
2022-10-14,175.979996,176.259995,169.990005,170.190002,169.134979,5937900
2022-10-17,172.270004,173.589996,171.070007,172.729996,171.659225,6401800
2022-10-18,174.820007,176.910004,173.410004,175.059998,173.974777,4547400
2022-10-19,174.820007,175.839996,172.330002,173.360001,172.285324,5200200
2022-10-20,174.199997,174.360001,171.110001,171.460007,170.397110,4314000
2022-10-21,171.199997,173.690002,170.580002,173.059998,171.987183,5071500
2022-10-24,174.809998,177.979996,174.669998,177.679993,176.578537,5316500
2022-10-25,178.119995,178.869995,176.610001,178.270004,177.164886,5220000
2022-10-26,179.259995,180.899994,178.320007,179.070007,177.959930,5136000
2022-10-27,180.369995,180.929993,178.570007,178.880005,177.771103,5424100
2022-10-28,179.699997,182.929993,179.479996,182.229996,181.100327,6715300
2022-10-31,181.179993,182.979996,180.539993,181.580002,180.454361,4877200
2022-11-01,180.940002,182.809998,179.889999,180.759995,179.639435,4084500
2022-11-02,180.779999,183.580002,178.169998,178.240005,177.135071,4970600
2022-11-03,176.779999,178.899994,176.529999,177.779999,176.677917,3753800
2022-11-04,177.919998,179.789993,176.529999,178.779999,177.671722,3922400
2022-11-07,179.520004,180.619995,178.830002,180.210007,179.092865,3246100
2022-11-08,180.440002,182.110001,178.800003,180.710007,179.589767,3724700
2022-11-09,179.949997,181.070007,178.399994,178.550003,177.443146,4723600
2022-11-10,182.649994,182.919998,178.559998,181.699997,180.573624,6704100
2022-11-11,181.130005,181.690002,175.440002,178.050003,176.946243,7390500
2022-11-14,178.669998,179.179993,176.500000,176.729996,175.634430,5633000
2022-11-15,178.039993,178.699997,175.419998,177.190002,176.091583,5153600
2022-11-16,178.300003,179.630005,177.720001,178.330002,177.224518,4701100
2022-11-17,177.490005,180.160004,177.429993,180.029999,178.913971,3920300
2022-11-18,180.210007,181.839996,180.020004,181.330002,180.205917,4498100
2022-11-21,182.270004,185.130005,182.089996,184.820007,183.674286,4397600
2022-11-22,185.809998,186.619995,184.369995,184.839996,183.694153,4109600
2022-11-23,185.000000,186.080002,184.500000,185.080002,183.932663,2511000
2022-11-25,184.580002,185.000000,183.940002,184.110001,182.968674,1837000
2022-11-28,184.399994,185.490005,183.509995,183.889999,182.750046,6411400
2022-11-29,183.300003,183.419998,181.020004,182.589996,181.458099,4375400
2022-11-30,181.899994,185.699997,180.240005,185.509995,184.360001,7915600
2022-12-01,185.479996,186.330002,184.160004,185.899994,185.899994,4683300
2022-12-02,184.000000,186.309998,183.839996,185.690002,185.690002,3547700
2022-12-05,183.429993,183.940002,182.320007,183.119995,183.119995,4083200
2022-12-06,183.750000,184.289993,180.699997,181.630005,181.630005,5835100
2022-12-07,181.809998,182.449997,180.690002,182.179993,182.179993,4241700
2022-12-08,181.809998,183.979996,181.259995,183.779999,183.779999,3800800
2022-12-09,184.210007,184.210007,183.050003,183.100006,183.100006,3116100
2022-12-12,184.179993,184.179993,182.360001,183.970001,183.970001,4691400
2022-12-13,186.479996,186.839996,182.940002,183.869995,183.869995,5634900
2022-12-14,184.070007,185.880005,182.130005,183.360001,183.360001,5392500
2022-12-15,181.979996,182.710007,178.389999,180.250000,180.250000,6127800
2022-12-16,180.080002,181.190002,178.479996,180.339996,180.339996,15708100
2022-12-19,180.860001,183.470001,180.350006,181.339996,181.339996,4447800
2022-12-20,181.820007,182.250000,180.639999,181.229996,181.229996,3249000
2022-12-21,181.550003,183.679993,181.399994,182.500000,182.500000,4236900
2022-12-22,181.860001,182.050003,178.919998,181.089996,181.089996,4304700
